Xuất xứ,Tình trạng,Dòng xe,Số Km đã đi,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi,Động cơ,Hệ thống nạp nhiên liệu,Hộp số,Dẫn động,Tiêu thụ nhiên liệu,Mô tả,Hãng,Grade,Năm sản xuất,Tên xe,Giá,Mã tin,URL
Lắp ráp trong nước,Xe đã dùng,Crossover,"10,000 Km",Đen,Nâu,5 cửa,5 chỗ,Xăng	1.6 L,,Số tự động,AWD - 4 bánh toàn thời gian,L/100Km,"Tucson Đặc Biệt sx 2022 chay 1vạn km biển SG.Trang bị: Màn hình trung tâm 10,25 inch nút bấm tùy chỉnh cảm ứng. Hệ thống định vị, kết nối Bluetooth với Android Auto và Apple Carplay, điều hòa tự động 3 vùng, đèn hậu LED,Dàn âm thanh Arkamys Premium cao cấp gồm 6 loa, Chìa khóa thông minh, Gạt tàn và châm thuốc, ngăn làm mát, Radio, MP4,…Trong tháng 3: + Tặng bao khoá da (bò, cá sấu) theo xe kèm móc khoá+ Tặng 1 bình xăng đầy+ Miễn phí trải nghiệm xe tại Hà Nội‘Chỉ có xe nét không lỗi, sai hoàn phí’ - Vui lòng khách đến vừa lòng khách đi - Lựa chọn nằm nơi Khách hàngXin CAM KẾT bằng VĂN BẢN:✓ Uy tín, chất lượng, pháp lý minh bạch✓ Xe không đâm đụng, ngập nước, thủy kích, máy móc keo chỉ nguyên bản✓ Hỗ trợ Bank đến 70%✓ Thủ tục nhanh gọn, phục vụ Khách hàng tận tâm✓ Bao Check test mọi nơi Khách hàng yêu cầu, giao xe toàn quốc✓ Nhập xe với giá tốt nhất thị trường",Hyundai,Tucson,2022,Xe Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt 2022,1 Tỷ 40 Triệu,4901464,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2022-4901464
Lắp ráp trong nước,Xe đã dùng,Crossover,"7,000 Km",Xanh,Nâu,5 cửa,5 chỗ,Xăng	1.6 L,,Số tự động,AWD - 4 bánh toàn thời gian,L/100Km,"Kia Sportage signature X-Line sx 2022 7 nghìn km. - Ghế da chỉnh điện 10 hướng nhớ 2 vị trí ở hàng ghế trước kết hợp sấy sưởi- Màn hình giải trí trung tâm 12,3inch- Hệ thống âm thanh cao cấp Harman Kardon- Camera 360°- Cửa sổ trời toàn cảnh- Cảnh báo va chạm - Cảnh báo lệch làn đường- Hỗ trợ giữ làn đường- Cảnh báo mất tập trung-… Trong tháng 3: + Tặng bao khoá da (bò, cá sấu) theo xe kèm móc khoá+ Tặng 1 bình xăng đầy+ Miễn phí trải nghiệm xe tại Hà Nội‘Chỉ có xe nét không lỗi, sai hoàn phí’ - Vui lòng khách đến vừa lòng khách đi - Lựa chọn nằm nơi Khách hàngXin CAM KẾT bằng VĂN BẢN:✓ Uy tín, chất lượng, pháp lý minh bạch✓ Xe không đâm đụng, ngập nước, thủy kích, máy móc keo chỉ nguyên bản✓ Hỗ trợ Bank đến 70%✓ Thủ tục nhanh gọn, phục vụ Khách hàng tận tâm✓ Bao Check test mọi nơi Khách hàng yêu cầu, giao xe toàn quốc✓ Nhập xe với giá tốt nhất thị trường",Kia,Sportage,2022,Xe Kia Sportage Signature X-Line 1.6T AWD 2022,1 Tỷ 50 Triệu,4901459,https://bonbanh.com/xe-kia-sportage-signature-x-line-1.6t-awd-2022-4901459
Lắp ráp trong nước,Xe đã dùng,Sedan,"40,000 Km",Đỏ,Kem,4 cửa,5 chỗ,Xăng	2.0 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Cần bán xe Kia Cerato 2.0 AT sản xuất 2018 ✓ Lắp ráp trong nước ✓ Nội thất dàn lốp theo xe✓ xe một chủ từ đầu ✓ xe đi 4 vạn chuẩn Cam kết xe không đâm đụng , ngập nước Bảo hành 6 tháng mọi lỗi .",Kia,Cerato,2018,Xe Kia Cerato 2.0 AT 2018,500 Triệu,4862673,https://bonbanh.com/xe-kia-cerato-2.0-at-2018-4862673
Nhập khẩu,Xe đã dùng,Hatchback,"10,000 Km",Đỏ,Nhiều màu,5 cửa,5 chỗ,Xăng	1.0 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Cần bán xe Hyundai Grand i10 1.0L 2015✓ Xe Nhập Ấn✓ Xe sản xuất năm 2015✓ Nội thất , máy số nguyên zin , đi 10 vạn chuẩn , dàn lốp theo xe .✓ Check hãng và các gara thoải mái.Bảo hành 6 tháng mọi lỗi.",Hyundai,i10,2015,Xe Hyundai i10 Grand 1.0 AT 2015,295 Triệu,4853403,https://bonbanh.com/xe-hyundai-i10-grand-1.0-at-2015-4853403
Nhập khẩu,Xe đã dùng,Crossover,"70,000 Km",Nâu,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,Cần bán Suzuki vitara 2017 xe cá nhân nhập khầu. Xe đẹp không lỗi nhỏ máy móc nguyên bản không lỗi đâm va. Hỗ trợ vay bank 70%. Xem xe tại Hà Nội,Suzuki,Vitara,2017,Xe Suzuki Vitara 2017,515 Triệu,4901448,https://bonbanh.com/xe-suzuki-vitara--2017-4901448
Lắp ráp trong nước,Xe đã dùng,Van/Minivan,"123,000 Km",Xanh,Màu khác,4 cửa,3 chỗ,Dầu	2.5 L,,Số tay,RFD - Dẫn động cầu sau,9	L/100Km,"Hiace tải van 3 chỗ máy dầu đi vừa tiết kiệm vừa vào được phố, hồ sơ rút cầm tay",Toyota,Hiace,2011,Xe Toyota Hiace 2.5 2011,330 Triệu,4825137,https://bonbanh.com/xe-toyota-hiace-2.5-2011-4825137
Lắp ráp trong nước,Xe đã dùng,Hatchback,"5,000 Km",Đỏ,Nhiều màu,5 cửa,5 chỗ,Xăng	1.25 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Huyndai i10 2020 1.2 Bước sang năm thứ 3 rồi mỗi năm chỉ đi hơn 5 nghìn km . Xe cực giữ gìn và còn thơm mùi mới! - 4 lốp theo xe , dự phòng chưa hạ,vô lăng cần số như mới luôn. Kính mời quý khách liên hệ trực tiếp, qua xem xe, lái thử và có giá tốt nhất. - Cam kết xe không đâm va ngập nước máy móc nguyên bản. - Kiểm tra kỹ thuật toàn diện, bao check toàn quốc- Thu lại xe của khách thủ tục nhanh gọn- Hợp pháp giấy tờ, minh bạch, rõ ràng- Ưu đãi bảo hiểm - Hỗ trợ xem và đánh giá xe 0đ! - Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng- Hỗ trợ thủ tục sang tên, đổi biển chọn gói —————",Hyundai,i10,2020,Xe Hyundai i10 Grand 1.2 AT 2020,399 Triệu,4886829,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2020-4886829
Lắp ráp trong nước,Xe đã dùng,Sedan,"70,000 Km",Đỏ,Kem,4 cửa,5 chỗ,Xăng	2.0 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Hyundai Elantra 2.0, bản Full cao cấp, đầy đủ đồ chơi, sản xuất 2018, đi chuẩn 70 ngàn km, sơn zin nhiều, 4 vỏ mới, máy gầm nội thất đẹp xuất sắc, bao test lỗi hãng toàn quốc",Hyundai,Elantra,2018,Xe Hyundai Elantra 2.0 AT 2018,500 Triệu,4812108,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2018-4812108
Lắp ráp trong nước,Xe đã dùng,Sedan,"41,000 Km",Đen,Kem,4 cửa,5 chỗ,Xăng	1.8 L,,Số tự động,FWD - Dẫn động cầu trước,7	L/100Km,"*: con này mới nhì VN thôi vì con mới nhất em bán rồi. Toyota Corolla Altis 2018 chạy 4,1vkm zin (1.8G). Lốp theo xe 5 quả dày bịch, sơn zin 95%, tem mác trong xe chưa bóc hết. Đã lên cam hành trình. Lỗi em tặng xe.D/C: Lục Nam - Bắc Giang #autoduchao",Toyota,Corolla altis,2018,Xe Toyota Corolla altis 1.8G AT 2018,609 Triệu,4871637,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2018-4871637
Nhập khẩu,Xe đã dùng,SUV,"15,000 Km",Đen,Kem,5 cửa,8 chỗ,Dầu	4.5 L,,Số tự động,AWD - 4 bánh toàn thời gian,10	L/100Km,"✓ TOYOTA LANDCRUISER 4.5 GXR- MÁY DẦU✓ Land máy xăng thì nhiều nhưng Land máy dầu thì lại rất hiếm✓ Ưu điểm: Phù hợp cho các công ty doanh nghiệp xây dựng, thuỷ điện khi có thể dùng chung nhiên liệu Diesel với các mấy công trình khác và đặc biệt cực kỳ tiết kiệm chỉ 10 lít dầu/100km.✓ Màu sơn: Đen. Nội thất: Kem✓ Odo: 15 vạn km✓ Cam kết- xe đẹp như hình. Chi tiết vui lòng liên hệ 2 cơ sở của công ty.—————————————————————— SHOWROOM HÀ NỘI CAR CS1: Số 99 Thành Thái, Cầu Giấy, Hà NộiCS2: Số 532 QL13, Hiệp Bình Phước, Thủ Đức, TP HCM",Toyota,Land Cruiser,2015,Xe Toyota Land Cruiser GX.R 4.5 V8 2015,4 Tỷ 100 Triệu,4892670,https://bonbanh.com/xe-toyota-land_cruiser-gx.r-4.5-v8-2015-4892670
