Xuất xứ,Tình trạng,Dòng xe,Số Km đã đi,Màu ngoại thất,Màu nội thất,Số cửa,Động cơ,Hệ thống nạp nhiên liệu,Hộp số,Dẫn động,Tiêu thụ nhiên liệu,Mô tả
Lắp ráp trong nước,Xe đã dùng,SUV,"60,000 Km",Đen,Kem,5 cửa,Xăng,,Số tự động,-,L/100Km,"Cần bán xe Mercedes GLC 300, 4MATIC sản xuất năm 2018, đăng ký lần đầu 4/2018.ODO: 60.500km, xe chính chủ, gia đình công chức, xe bảo quản tốt, cam kết không đâm đụng, không ngập nước.Bảo hành chính hãng theo định kỳ, lịch sử đầy đủ, xe còn mới. Bao test hãng toàn quốc."
Nhập khẩu,Xe đã dùng,Bán tải / Pickup,"100,000 Km",Đỏ,Đen,4 cửa,Dầu,Bec dầu điện,Số tay,FWD - Dẫn động cầu trước,9	L/100Km,"Isuzu Dmax 2013,số sàn ,máy dầu.. xe không lỗi, máy zin.Hỗ trợ trọn gói giấy tờ cho ace có thiện chí xem xe và thương lượng trực tiếp"
Lắp ráp trong nước,Xe đã dùng,SUV,"75,600 Km",Trắng,Nâu,5 cửa,Xăng	2.0 L,Phun xăng điện tử,Số tự động,AWD - 4 bánh toàn thời gian,7	L/100Km,"Bán xe Mercedes GLK250 AMG model 2015 (xe Catain NN sử dụng) 1 chủ sử dụng từ đầu.Full lịch sử bảo trì-bảo dưỡng theo setup Hãng, test thoải mái. Xe số tự động 7 cấp (Transmission:7G S-Tronic) cần số Điện trên volant, GLK là dòng xe SUV đẳng cấp hoàn hảo của Mercedes,cảm giác lái tuyệt vời và các tính năng an toàn nhất ABS,ESP,BA...tất cả các tiện nghi nội thất bằng Da cao cấp, xe đẹp hoàn hảo từng chi tiết nhỏ nhất từ trong ra ngoài, tất cả Guaranty còn nguyên zin,xe đẹp tuyệt đối, không lỗi, phụ kiện theo xe còn nguyên zin (hàng hiếm của dòng GLK) A/C có nhu cầu vui lòng liên hệ xem xe."
Nhập khẩu,Xe đã dùng,Hatchback,"34,000 Km",Trắng,Đen,5 cửa,Xăng	1.2 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"SUZUKI SWIFT GLX 1.2AT sx 2019 đăng kí lần đầu tháng 2/2020 màu trang.Đi 34000km(chuẩn).Tên cá nhân 1 chủ.Xe nhập khẩu Thái Lan,full lịch sử hãng mới bảo dưỡng định kỳ.Sơ cua chưa hạ,4 lốp theo xe date 2019.- Xe trang bị gồm :Star/Stop,điểu khiển thích hợp vô lăng 2 bên,màn hìnhadroi da chuc nang.Cam hanh trinh.Kết nối điện thoại cầm tay,camera lùi,điều hoà tự động,túi khí an toàn,giải trí CD/AUX,USB,MP3/AM/FM,kết nối ngoại vi,phanh ABS 4 bánh,Đèn pha bixenon đèn nét ban ngày Cruicontro ga tự động,cảm biến,khoá cửa cốp Smakay.Gương cụp xi nhan gương.Đệm da cao cấp 2 mầu.vv……- cam kết xe ko 1 lỗi,máy gầm nội thất nguyên zin.Bao check gara và hãng toàn quốc.Xe chỉ bàn về giá."
Lắp ráp trong nước,Xe đã dùng,SUV,"16,000 Km",Xanh,Đen,5 cửa,Xăng	2.0 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Cx5 2021 bản luxury màu xanh canvansite Odo 1.6 vạn Km, biển tỉnhXee trang bị: màn hình giải trí, Cốp sau chỉnh điện, Khởi động bằng nút bấm, ghế điện phanh tay điện tử, camera de, vô lăng tích hợp điều khiển,..."
Lắp ráp trong nước,Xe đã dùng,SUV,"81,000 Km",Xanh,Đen,5 cửa,Xăng	2.0 L,Điện tử,Số tự động,FWD - Dẫn động cầu trước,7	L/100Km,"Bán Mazda CX5 premium máy 2.0 , số tự động , bản cao cấp nhất: chìa khóa thông minh, khởi động start stop, vô lăng da tích hợp cruise control chỉnh âm thanh, 4 mâm đúc 19inch , đèn bixinon led trước sau, màn hình cảm ứng GPS dẫn đường cao cấp, camera, loa bose, dán kính 3m usa, 4 vỏ mới, vỏ sơ cua chưa chạm đất, xe đứng tên cá nhân, 1 đời chủ sử dụng kỹ còn mới nguyên 80% , bảo dưỡng định kỳ , tuyệt đẹp, có trao đổi xe"
Lắp ráp trong nước,Xe đã dùng,SUV,"60,000 Km",Đen,Đen,5 cửa,Xăng	2.5 L,,Số tự động,4WD - Dẫn động 4 bánh,L/100Km,"Nissan Xtrail 2.5 4WD, bản cao cấp nhất premium, sx 2018 đk 2019 chạy chuẩn 6 vạn! Hỗ trợ Bank 75%! Xe trang bị rất nhiều option tiện ích : đề nổ , 2 cầu , cửa nóc panonama , hỗ trợ khởi hành ngang dốc , màn hình camera lùi 360 , chống trơn trượt .v.v.Xe không đâm đụng, Không ngập nước, Bán xe có bảo hành, Hỗ trợ mua xe trả góp, Bao test hãng,....Qúy khách có nhu cầu liên hệ để biết thêm thông tin chi tiết!"
Lắp ráp trong nước,Xe đã dùng,Sedan,"99,000 Km",Đen,Đen,4 cửa,Xăng	3.0 L,,Số tự động,RFD - Dẫn động cầu sau,L/100Km,"Auto Bảo Phương Duy mới về Mercedes Benz E300 sx 2011 đk 2013. Xe trang bị đầy đủ các tiện ích: màn hình giải trí, vô lăng tích hợp, kính chỉnh điện, hệ thống phanh an toàn...- Bảo đảm động cơ và hộp số 6 tháng sau khi mua.- Cam kết chất lượng xe: xe không tai nạn, không ngập nước, khung gầm nguyên bản.- Cam kết pháp lý: xe không tranh chấp, kiện tụng, phạt nguội."
Lắp ráp trong nước,Xe mới,Van/Minivan,0 Km,Đen,Kem,5 cửa,Xăng	3.5 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"Kia Carnival Signature 2022 mới 100%- Kích thước tổng thể DxRxC (mm): 5.155 x 1.995 x 1.775- Chiều dài cơ sở (mm) 3.090- Trang bị cụm công cụ điều khiển kỹ thuật số 12,3 inch mới nhất của KIA và hệ thống thông tin giải trí và định vị màn hình cảm ứng 12,3 inch.Phía dưới bảng điều khiển trung tâm, còn có một màn hình hiển thị thứ ba nhỏ hơn dành cho điều khiển điều hòa tự động. Các trang bị tiện nghi khác của xe gồm: kết nối USB / Radio / Bluetooth, kết nối Apple CarPlay và Android Auto, 12 loa Bose, gương chiếu hậu bên trong 2 chế độ ngày/đêm, chìa khóa thông minh và khởi động bằng nút bấm, sạc điện thoại không dây, cửa sổ trời dạng đôi…Anh chị có nhu cầu liên hệ để biết thêm thông tin chi tiết!"
Lắp ráp trong nước,Xe đã dùng,SUV,"42,000 Km",Trắng,Đen,5 cửa,Xăng	2.4 L,,Số tự động,FWD - Dẫn động cầu trước,L/100Km,"KIA SORENTO GATH mode 2015 Bản Full Options Trang bị hiện đại: Cửa sổ Trời Toàn Cảnh Panorama - Khởi Động Start/ Stop - Chìa Khoá Thông Minh - Dàn đèn Bi LED / Xenon tích hợp Daylight -Vôlang đa chấu Thể thao - Tích hợp phím điều khiển đa chức năng - Cruise Control✓Điều hoà tự động , 2 Vùng khí hậu độc lập -Dàn Lạnh phía sau Độc lập riêng biệt mang lại không khí Tươi mát ✓Ghế Tài chỉnh điện - Bơm lưng ✓Hệ Thống Thông tin Giải trí Hiện Đại : Màn Hình Cảm ứng tích hợp Hệ thống GPS - Camera De ... kết nối đa phương tiện ✓Động Cơ khoẻ - Bền bỉ và Cực kỳ Tiết kiệm ... Khoang Nội thất rộng rãi - Tiện nghi. Từ sử dụng Gia Đình - Đi Giao dịch làm ăn - Phục vụ Công việc. Phiên Bản Full Options này được trang bị động cơ 2.4 đi cùng Hộp số 6 Cấp ( AT ) Đã nổi tiếng trên Toàn Thế Giới vì sự Bền Bỉ - Chất lượng chạy Miễnbàn : ✓ Mạnh mẽ - Đằm chắc - Êm ái & Tiết kiệm ..-Xe được trang bị Full các chức năng:  Kiểm soát tay lái , Hỗ trợ Đỗ đèo , Cân bằng điện tử, Chống trượt, chống lật : ABS, EBD / ESP ..."
